"연번","구분","용도지역","영_건폐율상한_pct","영_용적률하한_pct","영_용적률상한_pct","조례_건폐율_pct","조례_용적률_pct","조례_서울도심_용적률_pct","영_조문번호","조례_조문번호","영_법령ID","영_MST","영_시행일","조례_법령ID","조례_MST","조례_시행일","조회일","비고"
"1","도시지역-주거","제1종전용주거지역","50","50","100","50","100","","제84조제1항제1호 / 제85조제1항제1호","제44조제1호 / 제48조제1호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"2","도시지역-주거","제2종전용주거지역","50","50","150","40","120","","제84조제1항제2호 / 제85조제1항제2호","제44조제2호 / 제48조제2호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"3","도시지역-주거","제1종일반주거지역","60","100","200","60","150","","제84조제1항제3호 / 제85조제1항제3호","제44조제3호 / 제48조제3호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"4","도시지역-주거","제2종일반주거지역","60","100","250","60","200","","제84조제1항제4호 / 제85조제1항제4호","제44조제4호 / 제48조제4호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"5","도시지역-주거","제3종일반주거지역","50","100","300","50","250","","제84조제1항제5호 / 제85조제1항제5호","제44조제5호 / 제48조제5호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"6","도시지역-주거","준주거지역","70","200","500","60","400","","제84조제1항제6호 / 제85조제1항제6호","제44조제6호 / 제48조제6호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"7","도시지역-상업","중심상업지역","90","200","1500","60","1000","800","제84조제1항제7호 / 제85조제1항제7호","제44조제7호 / 제48조제7호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 30%p 강화"
"8","도시지역-상업","일반상업지역","80","200","1300","60","800","600","제84조제1항제8호 / 제85조제1항제8호","제44조제8호 / 제48조제8호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 20%p 강화"
"9","도시지역-상업","근린상업지역","70","200","900","60","600","500","제84조제1항제9호 / 제85조제1항제9호","제44조제9호 / 제48조제9호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"10","도시지역-상업","유통상업지역","80","200","1100","60","600","500","제84조제1항제10호 / 제85조제1항제10호","제44조제10호 / 제48조제10호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 20%p 강화"
"11","도시지역-공업","전용공업지역","70","150","300","60","200","","제84조제1항제11호 / 제85조제1항제11호","제44조제11호 / 제48조제11호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"12","도시지역-공업","일반공업지역","70","150","350","60","200","","제84조제1항제12호 / 제85조제1항제12호","제44조제12호 / 제48조제12호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"13","도시지역-공업","준공업지역","70","150","400","60","400","","제84조제1항제13호 / 제85조제1항제13호","제44조제13호 / 제48조제13호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","조례가 건폐율을 상한보다 10%p 강화"
"14","도시지역-녹지","보전녹지지역","20","50","80","20","50","","제84조제1항제14호 / 제85조제1항제14호","제44조제14호 / 제48조제14호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"15","도시지역-녹지","생산녹지지역","20","50","100","20","50","","제84조제1항제15호 / 제85조제1항제15호","제44조제15호 / 제48조제15호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"16","도시지역-녹지","자연녹지지역","20","50","100","20","50","","제84조제1항제16호 / 제85조제1항제16호","제44조제16호 / 제48조제16호","009419","288857","20260918","2000719","2149501","20260713","2026-09-21",""
"17","관리지역","보전관리지역","20","50","80","","","","제84조제1항제17호 / 제85조제1항제17호","","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","서울시 조례 미규정(도시지역 외) — 영 기준 적용"
"18","관리지역","생산관리지역","20","50","80","","","","제84조제1항제18호 / 제85조제1항제18호","","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","서울시 조례 미규정(도시지역 외) — 영 기준 적용"
"19","관리지역","계획관리지역","40","50","100","","","","제84조제1항제19호 / 제85조제1항제19호","","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","서울시 조례 미규정(도시지역 외) — 영 기준 적용"
"20","농림지역","농림지역","20","50","80","","","","제84조제1항제20호 / 제85조제1항제20호","","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","서울시 조례 미규정(도시지역 외) — 영 기준 적용"
"21","자연환경보전","자연환경보전지역","20","50","80","","","","제84조제1항제21호 / 제85조제1항제21호","","009419","288857","20260918","2000719","2149501","20260713","2026-09-21","서울시 조례 미규정(도시지역 외) — 영 기준 적용"
