연번,구분,용도지역,시행령_건폐율상한_%,시행령_용적률하한_%,시행령_용적률상한_%,서울조례_건폐율_%,서울조례_용적률_%,서울도심_용적률_%,근거_시행령,근거_조례,비고
1,도시지역-주거,제1종전용주거지역,50,50,100,50,100,,영 제84조제1항제1호 / 제85조제1항제1호,조례 제44조제1호 / 제48조제1호,
2,도시지역-주거,제2종전용주거지역,50,50,150,40,120,,영 제84조제1항제2호 / 제85조제1항제2호,조례 제44조제2호 / 제48조제2호,조례가 건폐율을 상한보다 10%p 강화
3,도시지역-주거,제1종일반주거지역,60,100,200,60,150,,영 제84조제1항제3호 / 제85조제1항제3호,조례 제44조제3호 / 제48조제3호,
4,도시지역-주거,제2종일반주거지역,60,100,250,60,200,,영 제84조제1항제4호 / 제85조제1항제4호,조례 제44조제4호 / 제48조제4호,
5,도시지역-주거,제3종일반주거지역,50,100,300,50,250,,영 제84조제1항제5호 / 제85조제1항제5호,조례 제44조제5호 / 제48조제5호,법정 상한 300%와 조례 적용값 250% 혼동 빈발
6,도시지역-주거,준주거지역,70,200,500,60,400,,영 제84조제1항제6호 / 제85조제1항제6호,조례 제44조제6호 / 제48조제6호,
7,도시지역-상업,중심상업지역,90,200,1500,60,1000,800,영 제84조제1항제7호 / 제85조제1항제7호,조례 제44조제7호 / 제48조제7호,서울도심 단서 적용 시 800%
8,도시지역-상업,일반상업지역,80,200,1300,60,800,600,영 제84조제1항제8호 / 제85조제1항제8호,조례 제44조제8호 / 제48조제8호,서울도심 단서 적용 시 600%
9,도시지역-상업,근린상업지역,70,200,900,60,600,500,영 제84조제1항제9호 / 제85조제1항제9호,조례 제44조제9호 / 제48조제9호,서울도심 단서 적용 시 500%
10,도시지역-상업,유통상업지역,80,200,1100,60,600,500,영 제84조제1항제10호 / 제85조제1항제10호,조례 제44조제10호 / 제48조제10호,서울도심 단서 적용 시 500%
11,도시지역-공업,전용공업지역,70,150,300,60,200,,영 제84조제1항제11호 / 제85조제1항제11호,조례 제44조제11호 / 제48조제11호,
12,도시지역-공업,일반공업지역,70,150,350,60,200,,영 제84조제1항제12호 / 제85조제1항제12호,조례 제44조제12호 / 제48조제12호,
13,도시지역-공업,준공업지역,70,150,400,60,400,,영 제84조제1항제13호 / 제85조제1항제13호,조례 제44조제13호 / 제48조제13호,
14,도시지역-녹지,보전녹지지역,20,50,80,20,50,,영 제84조제1항제14호 / 제85조제1항제14호,조례 제44조제14호 / 제48조제14호,
15,도시지역-녹지,생산녹지지역,20,50,100,20,50,,영 제84조제1항제15호 / 제85조제1항제15호,조례 제44조제15호 / 제48조제15호,
16,도시지역-녹지,자연녹지지역,20,50,100,20,50,,영 제84조제1항제16호 / 제85조제1항제16호,조례 제44조제16호 / 제48조제16호,
17,관리지역,보전관리지역,20,50,80,,,,영 제84조제1항제17호 / 제85조제1항제17호,,서울특별시 내 미지정 — 조례에 규정 없음
18,관리지역,생산관리지역,20,50,80,,,,영 제84조제1항제18호 / 제85조제1항제18호,,서울특별시 내 미지정 — 조례에 규정 없음
19,관리지역,계획관리지역,40,50,100,,,,영 제84조제1항제19호 / 제85조제1항제19호,,서울특별시 내 미지정 — 조례에 규정 없음
20,농림지역,농림지역,20,50,80,,,,영 제84조제1항제20호 / 제85조제1항제20호,,서울특별시 내 미지정 — 조례에 규정 없음
21,자연환경보전지역,자연환경보전지역,20,50,80,,,,영 제84조제1항제21호 / 제85조제1항제21호,,서울특별시 내 미지정 — 조례에 규정 없음
