"법령명","법령ID","MST","법종구분","소관부처","조","항","조문제목","내용","조문시행일","시행일","조회일","출처표기","원문URL"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제36조","제1항","용도지역의 지정","① 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 다음 각 호의 어느 하나에 해당하는 용도지역의 지정 또는 변경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23> 1. 도시지역: 다음 각 목의 어느 하나로 구분하여 지정한다. 가. 주거지역: 거주의 안녕과 건전한 생활환경의 보호를 위하여 필요한 지역 나. 상업지역: 상업이나 그 밖의 업무의 편익을 증진하기 위하여 필요한 지역 다. 공업지역: 공업의 편익을 증진하기 위하여 필요한 지역 라. 녹지지역: 자연환경ㆍ농지 및 산림의 보호, 보건위생, 보안과 도시의 무질서한 확산을 방지하기 위하여 녹지의 보전이 필요한 지역 2. 관리지역: 다음 각 목의 어느 하나로 구분하여 지정한다. 가. 보전관리지역: 자연환경 보호, 산림 보호, 수질오염 방지, 녹지공간 확보 및 생태계 보전 등을 위하여 보전이 필요하나, 주변 용도지역과의 관계 등을 고려할 때 자연환경보전지역으로 지정하여 관리하기가 곤란한 지역 나. 생산관리지역: 농업ㆍ임업ㆍ어업 생산 등을 위하여 관리가 필요하나, 주변 용도지역과의 관계 등을 고려할 때 농림지역으로 지정하여 관리하기가 곤란한 지역 다. 계획관리지역: 도시지역으로의 편입이 예상되는 지역이나 자연환경을 고려하여 제한적인 이용ㆍ개발을 하려는 지역으로서 계획적ㆍ체계적인 관리가 필요한 지역 3. 농림지역 4. 자연환경보전지역","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제36조제1항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제36조","제2항","용도지역의 지정","② 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 대통령령으로 정하는 바에 따라 제1항 각 호 및 같은 항 각 호 각 목의 용도지역을 도시ㆍ군관리계획결정으로 다시 세분하여 지정하거나 변경할 수 있다. <개정 2011.4.14, 2013.3.23>","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제36조제2항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제37조","제1항","용도지구의 지정","① 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 다음 각 호의 어느 하나에 해당하는 용도지구의 지정 또는 변경을 도시ㆍ군관리계획으로 결정한다. <개정 2011.4.14, 2013.3.23, 2017.4.18, 2023.5.16> 1. 경관지구: 경관의 보전ㆍ관리 및 형성을 위하여 필요한 지구 2. 고도지구: 쾌적한 환경 조성 및 토지의 효율적 이용을 위하여 건축물 높이의 최고한도를 규제할 필요가 있는 지구 3. 방화지구: 화재의 위험을 예방하기 위하여 필요한 지구 4. 방재지구: 풍수해, 산사태, 지반의 붕괴, 그 밖의 재해를 예방하기 위하여 필요한 지구 5. 보호지구: 「국가유산기본법」 제3조에 따른 국가유산, 중요 시설물(항만, 공항 등 대통령령으로 정하는 시설물을 말한다) 및 문화적ㆍ생태적으로 보존가치가 큰 지역의 보호와 보존을 위하여 필요한 지구 6. 취락지구: 녹지지역ㆍ관리지역ㆍ농림지역ㆍ자연환경보전지역ㆍ개발제한구역 또는 도시자연공원구역의 취락을 정비하기 위한 지구 7. 개발진흥지구: 주거기능ㆍ상업기능ㆍ공업기능ㆍ유통물류기능ㆍ관광기능ㆍ휴양기능 등을 집중적으로 개발ㆍ정비할 필요가 있는 지구 8. 특정용도제한지구: 주거 및 교육 환경 보호나 청소년 보호 등의 목적으로 오염물질 배출시설, 청소년 유해시설 등 특정시설의 입지를 제한할 필요가 있는 지구 9. 복합용도지구: 지역의 토지이용 상황, 개발 수요 및 주변 여건 등을 고려하여 효율적이고 복합적인 토지이용을 도모하기 위하여 특정시설의 입지를 완화할 필요가 있는 지구 10. 그 밖에 대통령령으로 정하는 지구","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제37조제1항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제37조","제2항","용도지구의 지정","② 국토교통부장관, 시ㆍ도지사 또는 대도시 시장은 필요하다고 인정되면 대통령령으로 정하는 바에 따라 제1항 각 호의 용도지구를 도시ㆍ군관리계획결정으로 다시 세분하여 지정하거나 변경할 수 있다. <개정 2011.4.14, 2013.3.23>","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제37조제2항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제37조","제3항","용도지구의 지정","③ 시ㆍ도지사 또는 대도시 시장은 지역여건상 필요하면 대통령령으로 정하는 기준에 따라 그 시ㆍ도 또는 대도시의 조례로 용도지구의 명칭 및 지정목적, 건축이나 그 밖의 행위의 금지 및 제한에 관한 사항 등을 정하여 제1항 각 호의 용도지구 외의 용도지구의 지정 또는 변경을 도시ㆍ군관리계획으로 결정할 수 있다. <개정 2011.4.14>","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제37조제3항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제37조","제4항","용도지구의 지정","④ 시ㆍ도지사 또는 대도시 시장은 연안침식이 진행 중이거나 우려되는 지역 등 대통령령으로 정하는 지역에 대해서는 제1항제5호의 방재지구의 지정 또는 변경을 도시ㆍ군관리계획으로 결정하여야 한다. 이 경우 도시ㆍ군관리계획의 내용에는 해당 방재지구의 재해저감대책을 포함하여야 한다. <신설 2013.7.16>","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제37조제4항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제37조","제5항","용도지구의 지정","⑤ 시ㆍ도지사 또는 대도시 시장은 대통령령으로 정하는 주거지역ㆍ공업지역ㆍ관리지역에 복합용도지구를 지정할 수 있으며, 그 지정기준 및 방법 등에 필요한 사항은 대통령령으로 정한다. <신설 2017.4.18>","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제37조제5항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제40조의3","제1항","도시혁신구역의 지정 등","① 제35조의6제1항에 따른 공간재구조화계획 결정권자(이하 이 조 및 제40조의4에서 ""공간재구조화계획 결정권자""라 한다)는 다음 각 호의 어느 하나에 해당하는 지역을 도시혁신구역으로 지정할 수 있다. 1. 도시ㆍ군기본계획에 따른 도심ㆍ부도심 또는 생활권의 중심지역 2. 주요 기반시설과 연계하여 지역의 거점 역할을 수행할 수 있는 지역 3. 그 밖에 도시공간의 창의적이고 혁신적인 개발이 필요하다고 인정되는 경우로서 대통령령으로 정하는 지역","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제40조의3제1항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제40조의3","제2항","도시혁신구역의 지정 등","② 도시혁신계획에는 도시혁신구역의 지정 목적을 이루기 위하여 다음 각 호에 관한 사항이 포함되어야 한다. 1. 용도지역ㆍ용도지구, 도시ㆍ군계획시설 및 지구단위계획의 결정에 관한 사항 2. 주요 기반시설의 확보에 관한 사항 3. 건축물의 건폐율ㆍ용적률ㆍ높이에 관한 사항 4. 건축물의 용도ㆍ종류 및 규모 등에 관한 사항 5. 제83조의3에 따른 다른 법률 규정 적용의 완화 또는 배제에 관한 사항 6. 도시혁신구역 내 개발사업 및 개발사업의 시행자 등에 관한 사항 7. 그 밖에 도시혁신구역의 체계적 개발과 관리에 필요한 사항","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제40조의3제2항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
"국토의 계획 및 이용에 관한 법률","009294","284013","법률","국토교통부","제40조의3","제3항","도시혁신구역의 지정 등","③ 제1항에 따른 도시혁신구역의 지정 및 변경과 제2항에 따른 도시혁신계획은 다음 각 호의 사항을 종합적으로 고려하여 공간재구조화계획으로 결정한다. 1. 도시혁신구역의 지정 목적 2. 해당 지역의 용도지역ㆍ기반시설 등 토지이용 현황 3. 도시ㆍ군기본계획 등 상위계획과의 부합성 4. 주변 지역의 기반시설, 경관, 환경 등에 미치는 영향 및 도시환경 개선ㆍ정비 효과 5. 도시의 개발 수요 및 지역에 미치는 사회적ㆍ경제적 파급효과","20260701","20260701","2026-09-21","「국토의 계획 및 이용에 관한 법률」 제40조의3제3항 (법률 제21447호, 2026. 7. 1. 시행), 국가법령정보센터, 2026-09-21 조회","https://www.law.go.kr/법령/%EA%B5%AD%ED%86%A0%EC%9D%98%20%EA%B3%84%ED%9A%8D%20%EB%B0%8F%20%EC%9D%B4%EC%9A%A9%EC%97%90%20%EA%B4%80%ED%95%9C%20%EB%B2%95%EB%A5%A0"
